group,session,agent,kind,hand,street,prompt_tokens,total_tokens,cost
control,akg-vs-fullhistory-1,llm-akg-durable,decision,65,preflop,1925,9376,0.032891100000000006
control,akg-vs-fullhistory-1,llm-akg-durable,update,65,,5105,24054,0.04065735
control,akg-vs-fullhistory-1,llm-akg-durable,decision,66,preflop,1915,27856,0.055388400000000004
control,akg-vs-fullhistory-1,llm-akg-durable,update,66,,5155,38074,0.0853743
control,akg-vs-fullhistory-1,llm-akg-durable,decision,67,preflop,1921,9668,0.0340674
control,akg-vs-fullhistory-1,llm-akg-durable,update,67,,5191,24346,0.04095525
control,akg-vs-fullhistory-1,llm-akg-durable,decision,68,preflop,1936,27355,0.047113199999999994
control,akg-vs-fullhistory-1,llm-akg-durable,update,68,,5267,54978,0.11109600000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,69,preflop,1942,9464,0.031553700000000004
control,akg-vs-fullhistory-1,llm-akg-durable,update,69,,5306,24940,0.0419994
control,akg-vs-fullhistory-1,llm-akg-durable,decision,70,preflop,1951,9492,0.0308964
control,akg-vs-fullhistory-1,llm-akg-durable,update,70,,5336,32495,0.05042355
control,akg-vs-fullhistory-1,llm-akg-durable,decision,71,preflop,1953,9530,0.030987
control,akg-vs-fullhistory-1,llm-akg-durable,update,71,,5380,25289,0.042814950000000004
control,akg-vs-fullhistory-1,llm-akg-durable,decision,72,preflop,1976,9710,0.0319764
control,akg-vs-fullhistory-1,llm-akg-durable,update,72,,5424,38626,0.06379515
control,akg-vs-fullhistory-1,llm-akg-durable,decision,73,preflop,1956,9951,0.03438915000000001
control,akg-vs-fullhistory-1,llm-akg-durable,update,73,,5447,25584,0.043221
control,akg-vs-fullhistory-1,llm-akg-durable,update,74,,5480,25579,0.042754349999999997
control,akg-vs-fullhistory-1,llm-akg-durable,decision,75,preflop,1953,9935,0.03324825
control,akg-vs-fullhistory-1,llm-akg-durable,update,75,,5507,25912,0.0439983
control,akg-vs-fullhistory-1,llm-akg-durable,decision,76,preflop,1986,29199,0.0490737
control,akg-vs-fullhistory-1,llm-akg-durable,update,76,,5600,60718,0.124419
control,akg-vs-fullhistory-1,llm-akg-durable,decision,77,preflop,2002,10151,0.0335967
control,akg-vs-fullhistory-1,llm-akg-durable,update,77,,5652,26962,0.04780845
control,akg-vs-fullhistory-1,llm-akg-durable,decision,78,preflop,2010,29799,0.04976385
control,akg-vs-fullhistory-1,llm-akg-durable,update,78,,5720,43823,0.10177515000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,79,preflop,2020,10300,0.0337896
control,akg-vs-fullhistory-1,llm-akg-durable,update,79,,5761,26992,0.045655799999999996
control,akg-vs-fullhistory-1,llm-akg-durable,decision,80,preflop,2023,30465,0.0523305
control,akg-vs-fullhistory-1,llm-akg-durable,update,80,,5821,43568,0.09426945
control,akg-vs-fullhistory-2,llm-akg-durable,update,1,,1866,4439,0.01423215
control,akg-vs-fullhistory-2,llm-akg-durable,decision,2,preflop,1387,3159,0.00864345
control,akg-vs-fullhistory-2,llm-akg-durable,update,2,,1916,11729,0.026396999999999997
control,akg-vs-fullhistory-2,llm-akg-durable,decision,3,preflop,1448,5972,0.01408815
control,akg-vs-fullhistory-2,llm-akg-durable,update,3,,2037,16115,0.04403835
control,akg-vs-fullhistory-2,llm-akg-durable,decision,4,preflop,1549,21092,0.04017255
control,akg-vs-fullhistory-2,llm-akg-durable,update,4,,2206,28489,0.08104170000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,5,preflop,1623,4464,0.013578
control,akg-vs-fullhistory-2,llm-akg-durable,update,5,,2323,12174,0.02305485
control,akg-vs-fullhistory-2,llm-akg-durable,decision,6,preflop,1684,15465,0.0299646
control,akg-vs-fullhistory-2,llm-akg-durable,update,6,,2429,21870,0.060727350000000006
control,akg-vs-fullhistory-2,llm-akg-durable,decision,7,preflop,1792,5268,0.0166062
control,akg-vs-fullhistory-2,llm-akg-durable,update,7,,2549,14053,0.027649649999999998
control,akg-vs-fullhistory-2,llm-akg-durable,decision,8,preflop,1845,19336,0.0427041
control,akg-vs-fullhistory-2,llm-akg-durable,update,8,,2638,30758,0.06981779999999999
control,akg-vs-fullhistory-2,llm-akg-durable,decision,9,preflop,1933,5920,0.0178785
control,akg-vs-fullhistory-2,llm-akg-durable,update,9,,2742,7173,0.02213805
control,akg-vs-fullhistory-2,llm-akg-durable,decision,10,preflop,1935,5921,0.0180441
control,akg-vs-fullhistory-2,llm-akg-durable,update,10,,2733,27396,0.05563800000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,11,preflop,2035,6405,0.019289100000000003
control,akg-vs-fullhistory-2,llm-akg-durable,update,11,,2883,7740,0.02542035
control,akg-vs-fullhistory-2,llm-akg-durable,decision,12,preflop,2088,12112,0.02706135
control,akg-vs-fullhistory-2,llm-akg-durable,update,12,,2951,29764,0.0704529
control,akg-vs-fullhistory-2,llm-akg-durable,decision,13,preflop,2065,6576,0.0194781
control,akg-vs-fullhistory-2,llm-akg-durable,update,13,,2956,12923,0.0337263
control,akg-vs-fullhistory-2,llm-akg-durable,decision,14,preflop,2120,6853,0.02092335
control,akg-vs-fullhistory-2,llm-akg-durable,update,14,,3010,19102,0.046158450000000004
control,akg-vs-fullhistory-2,llm-akg-durable,decision,15,preflop,2165,7002,0.0211806
control,akg-vs-fullhistory-2,llm-akg-durable,update,15,,3079,8439,0.02908665
control,akg-vs-fullhistory-2,llm-akg-durable,decision,16,preflop,2219,41274,0.0644955
control,akg-vs-fullhistory-2,llm-akg-durable,update,16,,3181,38585,0.11599365
control,akg-vs-fullhistory-2,llm-akg-durable,decision,17,preflop,2364,7903,0.0243003
control,akg-vs-fullhistory-2,llm-akg-durable,update,17,,3311,9196,0.032767500000000005
control,akg-vs-fullhistory-2,llm-akg-durable,decision,18,preflop,2410,23920,0.04791105
control,akg-vs-fullhistory-2,llm-akg-durable,update,18,,3380,22280,0.0557991
control,akg-vs-fullhistory-2,llm-akg-durable,decision,19,preflop,2451,8112,0.02459265
control,akg-vs-fullhistory-2,llm-akg-durable,update,19,,3408,9618,0.03529785
control,akg-vs-fullhistory-2,llm-akg-durable,decision,20,preflop,2516,24666,0.045487200000000005
control,akg-vs-fullhistory-2,llm-akg-durable,update,20,,3498,28147,0.0825735
control,akg-vs-fullhistory-2,llm-akg-durable,decision,21,preflop,2573,8661,0.0263655
control,akg-vs-fullhistory-2,llm-akg-durable,update,21,,3574,10169,0.03799515
control,akg-vs-fullhistory-2,llm-akg-durable,decision,22,preflop,2636,37201,0.05599335
control,akg-vs-fullhistory-2,llm-akg-durable,update,22,,3681,44873,0.0953547
control,akg-vs-fullhistory-2,llm-akg-durable,decision,23,preflop,2763,9479,0.02903625
control,akg-vs-fullhistory-2,llm-akg-durable,update,23,,3801,10969,0.04213575
control,akg-vs-fullhistory-2,llm-akg-durable,decision,24,preflop,2807,28857,0.054432900000000006
control,akg-vs-fullhistory-2,llm-akg-durable,update,24,,3877,47861,0.10215015000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,25,preflop,2817,9882,0.030518700000000003
control,akg-vs-fullhistory-2,llm-akg-durable,update,25,,3901,11324,0.04401075
control,akg-vs-fullhistory-2,llm-akg-durable,decision,26,preflop,2887,43382,0.06895319999999999
control,akg-vs-fullhistory-2,llm-akg-durable,update,26,,4038,36449,0.07718805000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,27,preflop,2994,10309,0.030024299999999997
control,akg-vs-fullhistory-2,llm-akg-durable,update,27,,4089,12058,0.04816215
control,akg-vs-fullhistory-2,llm-akg-durable,decision,28,preflop,3066,10749,0.03339465
control,akg-vs-fullhistory-2,llm-akg-durable,update,28,,4148,61570,0.0944721
control,akg-vs-fullhistory-2,llm-akg-durable,decision,29,preflop,3030,10585,0.0321726
control,akg-vs-fullhistory-2,llm-akg-durable,update,29,,4152,12291,0.049471049999999996
control,akg-vs-fullhistory-2,llm-akg-durable,update,30,,4221,12492,0.050290499999999995
control,akg-vs-fullhistory-2,llm-akg-durable,decision,31,preflop,3164,11009,0.033424050000000004
control,akg-vs-fullhistory-2,llm-akg-durable,update,31,,4287,12740,0.051622799999999996
control,akg-vs-fullhistory-2,llm-akg-durable,decision,32,preflop,3197,33614,0.0593814
control,akg-vs-fullhistory-2,llm-akg-durable,update,32,,4344,41443,0.0809922
control,akg-vs-fullhistory-2,llm-akg-durable,decision,33,preflop,3098,10859,0.033719250000000006
control,akg-vs-fullhistory-2,llm-akg-durable,update,33,,4232,12504,0.05023005
control,akg-vs-fullhistory-2,llm-akg-durable,decision,34,preflop,3144,33614,0.06392475
control,akg-vs-fullhistory-2,llm-akg-durable,update,34,,4304,30059,0.07966635
control,akg-vs-fullhistory-2,llm-akg-durable,decision,35,preflop,3202,11129,0.03291045
control,akg-vs-fullhistory-2,llm-akg-durable,update,35,,4348,13044,0.053621100000000005
control,akg-vs-fullhistory-2,llm-akg-durable,decision,36,preflop,3247,33837,0.0582429
control,akg-vs-fullhistory-2,llm-akg-durable,update,36,,4416,33316,0.09953205000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,37,preflop,3307,11419,0.0341307
control,akg-vs-fullhistory-2,llm-akg-durable,update,37,,4462,13375,0.0550203
control,akg-vs-fullhistory-2,llm-akg-durable,decision,38,preflop,3351,34983,0.0604299
control,akg-vs-fullhistory-2,llm-akg-durable,update,38,,4532,31261,0.0912585
control,akg-vs-fullhistory-2,llm-akg-durable,decision,39,preflop,3462,11897,0.0354447
control,akg-vs-fullhistory-2,llm-akg-durable,update,39,,4629,14112,0.05942415
control,akg-vs-fullhistory-2,llm-akg-durable,decision,40,preflop,3508,37462,0.07200315
control,akg-vs-fullhistory-2,llm-akg-durable,update,40,,4699,49960,0.12159345
control,akg-vs-fullhistory-2,llm-akg-durable,decision,41,preflop,3610,12541,0.037517850000000005
control,akg-vs-fullhistory-2,llm-akg-durable,update,41,,4789,14651,0.0621984
control,akg-vs-fullhistory-2,llm-akg-durable,decision,42,preflop,3656,38610,0.06925890000000001
control,akg-vs-fullhistory-2,llm-akg-durable,update,42,,4860,66196,0.1389996
control,akg-vs-fullhistory-2,llm-akg-durable,decision,43,preflop,3686,12610,0.0358269
control,akg-vs-fullhistory-2,llm-akg-durable,update,43,,4875,14955,0.0637617
control,akg-vs-fullhistory-2,llm-akg-durable,decision,44,preflop,3731,39579,0.07038330000000001
control,akg-vs-fullhistory-2,llm-akg-durable,update,44,,4945,48318,0.11637465
control,akg-vs-fullhistory-2,llm-akg-durable,decision,45,preflop,3824,13205,0.03863955
control,akg-vs-fullhistory-2,llm-akg-durable,update,45,,5025,15521,0.06684045
control,akg-vs-fullhistory-2,llm-akg-durable,decision,46,preflop,3876,13654,0.0417189
control,akg-vs-fullhistory-2,llm-akg-durable,update,46,,5065,44807,0.10837710000000002
control,akg-vs-fullhistory-2,llm-akg-durable,decision,47,preflop,3943,13614,0.040403999999999995
control,akg-vs-fullhistory-2,llm-akg-durable,update,47,,5155,16035,0.06974820000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,48,preflop,3988,42758,0.07631325
control,akg-vs-fullhistory-2,llm-akg-durable,update,48,,5224,47811,0.10009995000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,49,preflop,4035,14037,0.0425166
control,akg-vs-fullhistory-2,llm-akg-durable,update,49,,5257,25012,0.07767450000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,50,preflop,4080,43156,0.07404315
control,akg-vs-fullhistory-2,llm-akg-durable,update,50,,5335,56563,0.11860845000000002
control,akg-vs-fullhistory-2,llm-akg-durable,decision,51,preflop,4147,14207,0.04127145
control,akg-vs-fullhistory-2,llm-akg-durable,update,51,,5390,32091,0.08561775
control,akg-vs-fullhistory-2,llm-akg-durable,decision,52,preflop,4191,44656,0.0776259
control,akg-vs-fullhistory-2,llm-akg-durable,update,52,,5470,47349,0.14053770000000002
control,akg-vs-fullhistory-2,llm-akg-durable,decision,53,preflop,4229,14633,0.04382355
control,akg-vs-fullhistory-2,llm-akg-durable,update,53,,5495,26215,0.08161875
control,akg-vs-fullhistory-2,llm-akg-durable,decision,54,preflop,4273,45839,0.08510340000000001
control,akg-vs-fullhistory-2,llm-akg-durable,update,54,,5575,46077,0.11000715000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,55,preflop,4351,15559,0.049845150000000005
control,akg-vs-fullhistory-2,llm-akg-durable,update,55,,5640,27032,0.08472105
control,akg-vs-fullhistory-2,llm-akg-durable,decision,56,preflop,4396,47111,0.08584649999999999
control,akg-vs-fullhistory-2,llm-akg-durable,update,56,,5720,57338,0.13928205
control,akg-vs-fullhistory-2,llm-akg-durable,decision,57,preflop,4466,15378,0.04442715
control,akg-vs-fullhistory-2,llm-akg-durable,update,57,,5776,18317,0.08201325000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,58,preflop,4511,48386,0.08432145
control,akg-vs-fullhistory-2,llm-akg-durable,update,58,,5845,53968,0.12558855000000002
control,akg-vs-fullhistory-2,llm-akg-durable,decision,59,preflop,4587,16011,0.0476772
control,akg-vs-fullhistory-2,llm-akg-durable,update,59,,5908,28529,0.09026145000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,60,preflop,4639,16231,0.050730300000000006
control,akg-vs-fullhistory-2,llm-akg-durable,update,60,,5961,43915,0.12658755
control,akg-vs-fullhistory-2,llm-akg-durable,decision,61,preflop,4677,16104,0.0471192
control,akg-vs-fullhistory-2,llm-akg-durable,update,61,,6021,19236,0.087033
control,akg-vs-fullhistory-2,llm-akg-durable,decision,62,preflop,4723,50601,0.08791605000000001
control,akg-vs-fullhistory-2,llm-akg-durable,update,62,,6089,63201,0.13422345
control,akg-vs-fullhistory-2,llm-akg-durable,decision,63,preflop,4796,5009,0.02117775
control,akg-vs-fullhistory-2,llm-akg-durable,update,63,,6151,19740,0.08981325000000001
control,akg-vs-fullhistory-2,llm-akg-durable,decision,64,preflop,4842,52081,0.08995394999999999
control,akg-vs-fullhistory-2,llm-akg-durable,update,64,,6220,82311,0.16868580000000002
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,1,,1866,7515,0.0167067
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,2,preflop,1385,11798,0.0221526
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,2,,2009,18507,0.06316485
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,3,preflop,1448,9828,0.01781295
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,3,,2101,27660,0.05278515000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,4,preflop,1506,4198,0.012556649999999999
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,4,,2181,9542,0.023661000000000005
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,5,preflop,1563,4463,0.01359
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,5,,2257,18803,0.0466257
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,6,preflop,1572,4647,0.013765199999999998
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,6,,2325,18654,0.03970395
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,7,preflop,1616,19043,0.03434685
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,7,,2473,31013,0.105147
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,8,preflop,1667,5478,0.01737495
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,8,,2562,18104,0.0313665
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,9,preflop,1729,5686,0.01740105
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,9,,2647,22732,0.04848945000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,10,preflop,1751,5904,0.0186489
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,10,,2705,11333,0.027482099999999995
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,11,preflop,1788,6424,0.024296250000000002
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,11,,2765,17637,0.040989000000000005
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,12,preflop,1784,6219,0.020211299999999998
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,12,,2801,23688,0.038508150000000005
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,13,preflop,1822,6302,0.01910895
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,13,,2862,17924,0.0389112
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,14,preflop,1785,6237,0.01937535
